Job Title,Company Name,Salary Estimate,Rating,Job Description,Skills,Location,Founded,Size
DATA SCIENCE CONSULTANT LONDON,managementsolutions,£49K,3.8,"Show moreYou will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models (Monte Carlo), Review of credit rating and scoring models and quant support to the business and R&D projects.

Requirements

Recent graduates or final year students from disciplines relating to Mathematics, Physics, Statistics, Econometrics or other Quantitative fields.
Postgraduate studies and/or specialised courses are an asset, especially in Data Science, Quantitative Finance or similar.",,"London, England",2002,1001 to 5000 Employees
Research Assistant in Deep Learning/Data Science,King's College London,£41K,4.1,"Show moreJob id: 098586. Salary: £38,232 to £42,999 per annum, including London Weighting Allowance.
Posted: 31 October 2024. Closing date: 21 November 2024.
Business unit: Faculty of Life Sciences & Medicine. Department: Institute of Pharmaceutical Science.
Contact details: Dr Heba Sailem. Heba.sailem@kcl.ac.uk
Location: Waterloo Campus. Category: Research.
Back to job search
About Us
The Sailem group is an interdisciplinary team dedicated to advancing deep learning and bioinformatics techniques for analysing large-scale biomedical data. We have a strong focus on cellular imaging data, recognizing its significant potential for translational medicine. To learn more, visit the Biomedical AI and Data Science group at www.hebasailem.com.",,"London, England",1826,5001 to 10000 Employees
Researcher in Medical Statistics/Data Science,University of Oxford,£43K,4.1,"Show moreWe are seeking a highly motivated and skilled post-doctoral data scientist/machine learning expert to join our multidisciplinary research team focused on studying multi-organ health through large-scale population health studies.
This role will offer the person a unique opportunity to work on two of the world’s most comprehensive datasets, UK Biobank and ORFAN, to advance our understanding of multimorbidity, particularly in the context of obesity, cancer, cardiomyopathies, and heart failure.
You will develop and apply advanced machine learning algorithms to analyse these datasets, linking imaging phenotypes (MRI and CT) with clinical, genetic, and environmental data. Key projects include studying the impact of obesity, modifiable risk factors, cancer, coronary heart disease and heart failure on multi-organ health to improve risk stratification and personalised treatment approaches. This research will contribute to novel risk prediction models and provide actionable insights for improving public health interventions and clinical practice.",,"Oxford, England",--,501 to 1000 Employees
Data Science Intern (6 or 12 months) - Starting Summer 2025,Schlumberger,£53K,4.0,"Show moreJob title:

Data Science Intern

About Us:

We are a global technology company, driving energy innovation for a balanced planet.

At SLB we create amazing technology that unlocks access to energy for the benefit of all. That is our purpose. As innovators, that’s been our mission for 100 years. We are facing the world’s greatest balancing act- how to simultaneously reduce emissions and meet the world’s growing energy demands. We’re working on that answer. Every day, a step closer.",,"Stonehouse, Scotland",1926,10000+ Employees
"Livingston, Scotland",Scaled Solutions Ltd,£30K,null,"Show moreAre you a skilled and passionate Laboratory Scientist/Analyst seeking a new challenge, or a new graduate looking to start your STEM career with a hands-on, lab based role? Would you like to work collaboratively on routine testing and applied research projects within the dynamic realm of the oil, gas & energy industry? Scaled Solutions Ltd, an internationally recognised Independent Global Chemical Testing Laboratory and Consultancy, is offering exciting opportunities for Laboratory Scientists & Analysts, at any stage of their career, to join our dedicated team in Livingston.
Key Responsibilities:
· Carry out a range of laboratory testing for both routine and more novel R&D work
· Self-managing day to day workload:",,null,null,null
"Part-time Research Coordinator: Data Science Theme, NIHR Oxford Health BRC",University of Oxford,£42K,4.1,"Show moreWe are looking to appoint a part-time (40-60% FTE) research coordinator to work within the Data Science theme of the NIHR Oxford Health Biomedical Research Centre (OH BRC). The theme is led by Professor Andrea Cipriani, and Professor Seena Fazel. The post is based in the Department of Psychiatry, at the Warneford Hospital.
The post is for a fixed term (funded to 31 March 2026).
You will manage and coordinate data science projects within the theme, liaising with sub theme leads and legal and governance experts, and assistant clinical and researcher theme members on operational decisions to achieve theme deliverables. This will include developing project plans, undertaking project management and managing report arrangements across the theme, the wider BRC and with the NIHR.
You should have a higher education degree or equivalent, along with a strong interest in data science and relevant experience working in a research environment. With experience of managing programmes/projects you will have excellent communication skills, including the ability to write for publication, present research proposals and represent the research theme at meetings.",,"Oxford, England",--,501 to 1000 Employees
Risk Analyst - Data Science (Risk Data Science),Nationwide,null,3.6,"Show moreA fantastic opportunity has become available as a Risk Analyst – Data Science in our thriving Risk Decision & Data Science team – winners of the “Credit Modelling & Risk Team of the Year” at both the 2022 and 2020 Credit Strategy Awards, “Best Use of Technology” at the 2019 Credit Strategy Awards and winners at the Women in Credit Awards for “Rising Star of the Year” (2022 and 2023) and “Team Player of the Year” (2022).
The team develop models which support lending decisions, detect economic crime, and ensure the society is safe and secure.
As a Risk Analyst, with the help of a Risk Manager, you will be responsible for supporting projects relating to the ongoing development and maintenance of Risk Data Science models across multiple cycles (Application, Behavioural and Collections/Recoveries), Economic Crime and Affordability for all our Retail lending portfolios, enabling the business to make better decisions for our members. As well as traditional model development techniques, including regression modelling, use of cutting-edge Machine Learning will also feature within model development and maintenance.",,"Swindon, Wiltshire, South West England, England",1846,10000+ Employees
BSI & Data Science Festival,BSI,£60K,3.6,"Show moreGreat that you're thinking about a career with BSI!
Welcome to BSI and the Data Science Festival!
Whether you seek or wish to continue a rewarding career in data science, cyber security, innovation, or AI, you've come to the right place.
In Data Science, you can explore the vast world of data science where you can analyse complex datasets and unlock opportunities in areas such as machine learning, predictive analytics and data visualisation.
Embrace the spirit of innovation and creativity by joining a dynamic environment where you can collaborate with diverse teams, and dive into the forefront of technology advancements and experiment with emerging trends.
Immerse yourself in the field of artificial intelligence and explore the limitless possibilities of AI to revolutionise how we interact with technology and transform industries such as healthcare, finance, transportation etc.",,"Chiswick, England",1901,5001 to 10000 Employees
Computational Biology / Data Science Trainer,University of Oxford,£43K,4.1,"Show moreWe are looking for an enthusiastic team-player to join the Oxford Biomedical Data Science (OBDS) training programme in the role of Computational Biology / Data Science Trainer. This unique position provides the opportunity to play a key role in training biomedical scientists in data science and computational genomics as well as getting involved with computational biology research and software development.
At the MRC WIMM Centre for Computational Biology (CCB), we work alongside scientists and clinicians to realise the potential of ‘big data’ in biology by exploiting complex information to make discoveries that benefit human health. The CCB encompasses an international team of over 40 computational biologists, working closely with 500 lab-based scientists and clinicians.
You will hold an MSc or PhD in a quantitative discipline (e.g. bioinformatics, computational biology, computer science, physics, statistics, engineering or mathematics), or a biomedical subject with relevant computational experience. You will have experience and enthusiasm for developing and delivering training in computational biology / data science methods and keeping up with the latest advances in these areas (e.g. machine learning, cloud computing). You will be experienced in working in a Linux / Unix command-line environment and be proficient in software development and data analysis in Python and/or R.",,"Oxford, England",--,501 to 1000 Employees
Data & AI Science Consultant,Accenture,null,3.9,null,,"London, England",null,null
Data Science Degree Apprenticeship - Level 6 - London - Product Group,BBC,null,3.9,"Show moreEarly Careers - Digital, Data & Technology
Apprenticeship
London, GB, W1A 1AA
BBC PUBLIC SERVICE B'CAST
Job Closing Date: 28/11/2024
THE ROLE
Salary: £21,840 (+ £5,318 London Living Allowance)
Contract type: Fixed Term Contract
Location: London

An apprenticeship at the BBC gives you the opportunity to kick-start your career in a job you'll love. We’re the industry leaders in early careers and are committed to your skills and talent development. As one of the world’s most creative and technologically advanced organisations for the last 100 years, an apprenticeship at the BBC means the opportunity to learn from the most respected and experienced professionals in the business.",,"London, England",1922,10000+ Employees
"Business Lecturers (Data Science, Strategy, Innovation & Sustainability)",Bayswater Education,null,4.4,"Show moreBayswater Education is a vibrant network of global educational centres dedicated for over 70 years to educating and inspiring people through a life-changing educational experience.We’re passionate about growing communities of global thinkers and explorers, at home and abroad – whatever their story. We set up Bayswater Education because we want young people from every walk of life to get a buzz from discovering new cultures, exploring new flavours, and learning what’s out there. We think of them as global spirits, like ourselves.

We are looking for Business Professionals to lecture on our Contemporary Topics in Business Strategy and Applied Data Science for Business courses for graduates & undergraduates interested in in Business Management.",,"London, England",1948,201 to 500 Employees
Data Science Manager,Lloyds Banking Group,£89K,3.6,"Show moreEnd Date
Thursday 28 November 2024
Salary Range
£84,186 - £93,540
We support flexible working – click here for more information on flexible working options
Flexible Working Options
Hybrid Working, Job Share
Job Description Summary
.
Job Description",,"London, England",1695,10000+ Employees
Data Science Degree Apprenticeship - Level 6 - London - BBC Studios,BBC,null,3.9,"Show moreEarly Careers - Digital, Data & Technology
Apprenticeship
London, GB, W12 7FA
BBC Studios Distribution
Job Closing Date: 28/11/2024
THE ROLE
Salary: £21,840 (+ £5,318 London Living Allowance)
Contract type: Fixed Term Contract
Location: London

An apprenticeship at the BBC gives you the opportunity to kick-start your career in a job you'll love. We’re the industry leaders in early careers and are committed to your skills and talent development. As one of the world’s most creative and technologically advanced organisations for the last 100 years, an apprenticeship at the BBC means the opportunity to learn from the most respected and experienced professionals in the business.",,"London, England",1922,10000+ Employees
Data Technician / Science Technician - AI Digital Health,electronRx,£28K,3.6,"Show moreEnter into an ambitious, empowered and fulfilling day-to-day where you are advancing our understanding of what’s possible in healthcare.
The eRx team is a place where your work has the potential to impact quality of life across the globe; where you’re free to learn, upskill yourself and contribute your best in a supportive, stimulating environment.
About electronRx
Our mission is to build the interface between technology, the human body and healthcare organisations that will transform how we deliver healthcare and treat disease.
We’re a deep tech company, based in Cambridge, UK, with a fast-growing team driving the development and commercialisation of our novel disease management and hospital patient flow technologies that pave the way for personalised digital medicine.",,"Cambridge, East of England, England",--,1 to 50 Employees
"Hitchin, England",Hudson Shribman Recruitment,null,null,"Show moreRegulatory Specialist (SDS /Labelling) £Competitive salary + Bonus
South East ABJ7296
A Regulatory Specialist with a chemistry background is urgently required to support the Global Product team for Regulatory Chemical standards by executing project tasks and/or assisting the Product Stewardship team.
As a regulatory or labelling specialist you would confirm that systems and processes are aligned with the company's ongoing compliance efforts by identifying potential inefficiencies and reporting them to management.
As a regulatory SDS and labelling specialist you would support the execution of departmental projects by completing designated work packages ensuring the organisation meets Global Regulatory Chemical requirements concerning the provision of safety data sheets and labels. (use SAP EHS).",,null,null,null
Data Science Consultant,Datasource,£55K,3.0,"Show moreIntroduction
This is a hybrid role with 2-3 days per week in the office and the rest of the work can be done from home. You may need to be flexible about time spent in the office and client site visits.
My client is a large defence consultancy who provide technical and strategic consultancy services to large government clients.
They are looking for a Data Scientist to solve impactful problems by using advanced technology stacks.
Key responsibilities
Work in collaboration with industry experience.",,"Manchester, England",1981,1 to 50 Employees
"Data Engineer with ADF, Python, SQL, PySpark (Specialist I - Data Science)",UST Global,£79K,3.9,"Show more2 Openings
LONDON

Role description
UST is recruiting for a Data Engineer to join our team in London, who will be responsible for building robust data platforms and possess strong expertise in Azure Databricks, ADF, SQL , Python, Pyspark

Location: London
Type: Fixed Term/ Full time employment",,"London, England",1999,10000+ Employees
Senior Data Science Analyst,Lloyds Banking Group,£61K,3.6,"Show moreEnd Date
Sunday 17 November 2024
Salary Range
£57,447 - £63,830
We support flexible working – click here for more information on flexible working options
Flexible Working Options
Hybrid Working, Job Share
Job Description Summary
We have an exciting opportunity to join our team.
Job Description",,"London, England",1695,10000+ Employees
Data Science & AI Business Partner,Aviva,null,3.9,"Show moreData Science & AI Business Partner
Salary £60,000
Location Bristol and Norwich

We are seeking a proactive and strategic Data Science & AI Business Partner to join our growing and dynamic Data Science & AI platform team.
The role will play a key role in bridging the gap between Technology Platforms and the Business, in turn helping to drive proactive engagements and change delivery across our Data Science & AI platforms.
A bit about the job:
This role is pivotal in aligning our data science, ML and AI capabilities with business goals and initiatives, ensuring that our IT platforms are fit for purpose and can support in accelerating the delivery of our business objectives.",,"Norwich, England",1861,10000+ Employees
Risk Data Science Manager,Virgin Money,null,2.8,"Show moreBusiness Unit: IRB, Scorecards & Non-Financial Risk (IS&N)
Salary range: up to circa £70,000 per annum DOE + red-hot benefits
Location: UK Flexible
Contract type: 1 x fixed term circa 12 months & 1 x Permanent
Don’t settle for dull. Live a life more Virgin.
Our team
Our Risk department provide us with a fool proof framework to make decisions that we know will keep our customers’ and investors’ money safe. They are always safeguarding our bank from an array of risks that could pop up at any moment. As part of the IRB, Scorecards & Non-Financial Risk team you’ll help to secure the foundations of our business decisions by providing quantitative and qualitative analysis across our model suite, providing solutions support the acquisition of new business, risk based account management and manage capital across the banks’ lending portfolios.

The core role of our Leaders is to deliver the very best performance through their people by keeping our Purpose, Strategic Aims and Values & Behaviours at the heart of all they do.",,"London, England",--,5001 to 10000 Employees
Data Science Engineer,Roke Manor Research Limited,£41K,3.9,"Show moreAs a Data Science Engineer, you’ll be actively involved in development of mission critical technical solutions that focus on data services for our National Security customers.
Roke are a leading technology & engineering company with clients spanning National Security, Defence and Industry . You will work alongside our customers to solve their complex and unique challenges.
As our next Data Science Engineer, you’ll be working with datasets of varying sizes to cleanse, manipulate, fuse and explore; allowing our customers to make faster, more accurate decisions and keep the nation safe.
The Key Requirements...",,"Manchester, England",1956,501 to 1000 Employees
Junior Geoscience Data Manager,Sword Group,£27K,3.7,"Show moreAre you ready to play a key role in propelling organisations on their data driven journey?
Sword builds foundations across platforms, data, and applications and our people have a shared passion for technology and solving complex business challenges for our customers.
Our core values and culture are based on caring about our people, investing in training and career development and building inclusive teams where we are all encouraged to contribute to achieve success. Our people and culture are our highest priority in all we do. Measurable feedback is captured annually to ensure we continue to improve and develop our offering.
If these values are important to you, and you are looking to take the next step in your career with an established and growing company, we’re delighted to share a newly created contract opportunity to join the Sword team in the role of",,"Aberdeen, Scotland",2000,1001 to 5000 Employees
Research Engineer – Data Science,Offshore Renewable Energy Catapult,null,4.2,"Show moreJoin the cutting-edge world of renewable energy innovation at ORE Catapult as a Research Engineer – Data Science. Be part of a team pushing the boundaries of AI, machine learning, and cloud technologies to revolutionise the offshore renewable energy sector. If you're passionate about using data-driven solutions to shape a sustainable future, this is the opportunity for you!

What will I do?
As a Research Engineer – Data Science, you will play a pivotal role in the Digital & Robotics team within the Research & Technical Capabilities directorate. Your responsibilities will involve developing innovative data and digital systems for renewable energy applications, leveraging AI, machine learning, cloud computing (Azure/AWS), and digital twin development to advance offshore renewable energy. You will implement APIs, data visualisation, and GUIs to drive the digitisation of the sector. Collaborating with experts, you will contribute to building frameworks for offshore wind farm digital twins, while also engaging in R&D activities, consultancies, and project work within . Additionally, you will promote by delivering high-quality technical reports and presentations. Your role will also require working closely with universities, research institutions, and industry stakeholders to advance drivetrain monitoring and diagnostic technologies. You will support the , contributing to the development of cutting-edge technology solutions for the offshore renewables sector.",,"Blyth, North East England, England",--,51 to 200 Employees
CTPHQ - Data Engineer - Grade H/J - Data Science Unit,Greater Manchester Police,£41K,3.2,"Show moreNumber of Posts
4
Advertised
INTERNAL AND EXTERNAL APPLICANTS
Branch/Division
Counter Terrorism Policing North West
Location
Force Headquarters - Central Park Complex
Grade
Grade H/J
Rank",,"Manchester, England",2000,5001 to 10000 Employees
Biomedical Data Science Programme Manager,University of Oxford,£43K,4.1,"Show moreWe have an exciting opportunity to play a key role in the development of novel research culture initiatives designed to support biomedical data scientists across the UK. This new project builds on previous work by X-NET ( www.x-net.bio) to pilot and evaluate a series of initiatives designed to encourage, support and reward biomedical data scientists. The Programme Manager will be an integral member of the interdisciplinary research network, working with teams across the University of Oxford and the UK, in the planning, implementation and management of new initiatives to improve integration of quantitative researchers in the biomedical field.
Applicants should be educated to degree level and have relevant administrative and/or project management experience. Demonstrable planning and organisational skills and excellent oral and written communication skills, including the ability to build relationships with key stakeholders. They should have a good knowledge of standard desktop IT applications and ability to problem solve. Experience in interdisciplinary research and/or research culture or researcher development.",,"Oxford, England",--,501 to 1000 Employees
Project Scientist: Heritage Science Data Service,The British Museum,null,3.2,"Show moreScientific Research
Full-time (41 hours per week)
Fixed term (3 years)
£35,165 per annum
Application deadline: 12pm (midday) on 15 November 2024
About the role:
To develop the Department of Scientific Research’s heritage science collection catalogue, working closely with research staff to deliver an accessible catalogue as part of the Archaeological Data Service (ADS) led AHRC-funded project to deliver and a Heritage Science Data Service (HSDS) for research and public access as part of the RICHeS heritage science infrastructure. Liaising with the ADS/HSDS team and other project consortium partners to deliver the British Museum’s contribution to the project.",,"London, England",1753,501 to 1000 Employees
Data Science Specialist,Systematic,£43K,3.5,"Show moreData Science Specialist – use your expertise to integrate, analyse and visualise data from our Defence customers to make a real impact


Join our dynamic UK Defence Services team and transform military data into actionable insights. Use your expertise in data integration, AI, and system optimization to support critical defence operations. Be part of a global team driving real-world impact—apply today!

Join our growing UK Defence Services team
Our Defence Services team in the UK works closely with military customers and front-line users of Systematic’s software products. We are a small, multi-disciplinary team of technical experts, engineers, software architects, trainers and project managers, whose expertise is highly valued by our customers in the UK and across Western Europe. As a member of this team, you will support the delivery of our broad portfolio of projects, collaborate with colleagues in the other Defence Services teams around the world, and support business developers with new sales opportunities to help drive our continued growth.",,"Farnborough, Hampshire, South East England, England",1985,501 to 1000 Employees
Reward Data Science Analyst,Lloyds Banking Group,£49K,3.6,"Show moreEnd Date
Thursday 07 November 2024
Salary Range
£0 - £0
We support flexible working – click here for more information on flexible working options
Flexible Working Options
Hybrid Working, Job Share
Job Description Summary
.
Job Description",,"Bristol, England",1695,10000+ Employees
"Heilbronn Research Fellowships in Pure Mathematics, Data Science and Quantum Computing",The University of Manchester,£48K,4.1,"Show moreAre you interested in using your skills in pure mathematics, data science or quantum information as part of a team working on exciting real world mathematical problems that help to keep the UK safe?
Our 3 year Heilbronn Postdoctoral Research Fellowships provide the opportunity to continue your own personal research alongside working on varied and fascinating classified research projects, collaborating with colleagues in a supportive and encouraging environment that puts an emphasis on teamwork. Research areas of interest include, but are not restricted to, Algebra, Algebraic Geometry, Combinatorics, Data Science, Number Theory, Probability, and Quantum Information. Fellows have previously been appointed with backgrounds in most areas of Pure Mathematics, Data Science and Statistics, Quantum Information and Mathematical/Theoretical Physics. You will also be offered training and development opportunities that fit your career ambitions, research needs and personal development requirements.",,"Manchester, England",1824,10000+ Employees
"VP, Data Science",MarketCast UK Ltd,£46K,2.9,"Show moreVice President, Data Science
Location – Reading (Hybrid)

Data-Driven Research and Insights
MarketCast combines the power of research, technology, and data science to help marketers and researchers maximize their advertising impact and unlock brand Fandom.
Our data and insights guide critical marketing decisions, helping brands determine which fandom audiences to prioritize and product benefits to communicate, in addition to developing, launching, and measuring brand and advertising campaigns across media platforms. Today our clients represent the biggest names in entertainment, tech, consumer brands, and sports and video games, and our impact touches the lives of billions of people around the globe.",,"Reading, England",1987,201 to 500 Employees
