Job Title,Company Name,Location,Job Description
"Staff Software Engineer - Machine Learning
- job post",ARM,Cambridge CB2 3AP•Hybrid work,"

  Arm's Machine Learning (ML) Group is seeking a highly motivated and creative Software Engineer to join and lead a growing team of brilliant engineers located in Cambridge, UK specialising in ML frameworks and compilers.
 


 This role presents an opportunity to contribute to sophisticated ML technology supporting Arm's ML Hardware. You will help to build the software that enables development of deep learning applications in many ground-breaking fields including self-driving cars, generative AI engines and ML-powered wearables.
 
 Job Description:

  The ML Tooling team is looking for a software engineer with line management experience who can build a range of innovative compiler solutions for a variety of markets.
 

  You will apply your experience and insight to craft and optimise compilers for machine learning networks that target Arm’s CPUs, GPUs and NPUs.
 
 Responsibilities:

Contribute to deliver production-grade software and push the boundaries of Machine Learning compilation
Recruit, develop, support and retain your engineers working as part of a larger team
Build, extend and collaborate on innovative ML compilation software projects, such as TensorFlow, PyTorch, TOSA and the broader MLIR ecosystem
Work with other groups in Arm to expand support for Arm architecture and ecosystem

 Required skills and experience:

A passion for software development and quality
Line management of a small team (4-8 engineers)
Proven experience with C++, understanding of Python is a plus
Experience with the full software development lifecycle - planning, designing, developing, testing, delivering, and maintaining production-quality software
Experience with or interest in compilers
Desire to learn new skills and technologies and work in a highly motivated team
High degree of initiative and problem solving skills
Ability to own team's delivery and lead others on large or more sophisticated tasks
Excellent communication skills.

 ""Nice to have"" skills and experience:

Experience with contributing to open-source projects and working with a broader open-source community
Knowledge or curiosity about computer vision, machine learning, their applications and frameworks
Experience with Linux and scripting languages, such as shell-scripting

 In Return:

  On top of the already compelling Life at Arm, we offer strong team culture, learning opportunities, regular career conversations, emphasis on diversity, equity and inclusion and a continuous improvement approach.
 


 #LI-JB1
 
 Accommodations at Arm
At Arm, we want our people to Do Great Things. If you need support or an accommodation to Be Your Brilliant Self during the recruitment process, please email accommodations@arm.com. To note, by sending us the requested information, you consent to its use by Arm to arrange for appropriate accommodations. All accommodation requests will be treated with confidentiality, and information concerning these requests will only be disclosed as necessary to provide the accommodation. Although this is not an exhaustive list, examples of support include breaks between interviews, having documents read aloud or office accessibility. Please email us about anything we can do to accommodate you during the recruitment process.
 Hybrid Working at Arm
Arm’s approach to hybrid working is designed to create a working environment that supports both high performance and personal wellbeing. We believe in bringing people together face to face to enable us to work at pace, whilst recognizing the value of flexibility. Within that framework, we empower groups/teams to determine their own hybrid working patterns, depending on the work and the team’s needs. Details of what this means for each role will be shared upon application. In some cases, the flexibility we can offer is limited by local legal, regulatory, tax, or other considerations, and where this is the case, we will collaborate with you to find the best solution. Please talk to us to find out more about what this could look like for you.
 Equal Opportunities at Arm
Arm is an equal opportunity employer, committed to providing an environment of mutual respect where equal opportunities are available to all applicants and colleagues. We are a diverse organization of dedicated and innovative individuals, and don’t discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.
"
"Forecasting Data Scientist
- job post",Octopus Energy Group,London,"

  The Energy Markets team at Octopus Energy is responsible for making sure that we always have the electricity and gas we need to support our customer demand whilst also supporting the grid to enable the Net Zero transition.
 

  To achieve this mission across all Octopus international regions, we need to forecast the demand of each of our customers and the production of our generation assets. The Forecasting team owns the underlying models and the forecasting data platform that feeds into business operations across the international group.
 

  We are looking for a Data Scientist to join the team - ideally someone who is skilled at data analysis, has at least some experience or familiarity with machine learning models and can grasp the commercial concepts and needs of the wider business to really add value.
 
What you will be doing:

Building, improving and maintaining forecasting models.
Development on forecasting framework and tools.
Maintaining and automating forecasting processes, whilst building in checks and alerting.
Designing and building forecasting dashboards/ reports that cover operational processes and reporting requirements;
Standardising and rolling out forecasting models across the international markets.
Performing ad-hoc analysis.
Collaborating with Risk, Trading, Renewables, Flexibility teams and building pipelines into the wider business.

 Who we are looking for: 

Experience with Python (pandas) and SQL is essential;
Able to quickly understand commercial concepts quickly and effectively;
Team player excited at the idea of ownership across lots of different projects and tools;
Passion for driving towards Net Zero;
Drives knowledge sharing and documentation for a more effective platform;
Open to travelling to Octopus international offices;
Experience with Machine Learning, dbt, Airflow and Spark is beneficial.
Experience in the energy industry

Why else you'll love it here:

 Wondering what the salary for this role is? Just ask us! On a call with one of our recruiters it's something we always cover as we genuinely want to match your experience with the correct salary. The reason why we don't advertise is because we honestly have a degree of flexibility and would never want salary to be a reason why someone doesn't apply to Octopus - what's more important to us is finding the right octofit!
Octopus Energy is a unique culture. An organisation where people learn, decide, and build quicker. Where people work with autonomy, alongside a wide range of amazing co-owners, on projects that break new ground. We want your hard work to be rewarded with perks you actually care about! We won best company to work for in 2022, on Glassdoor we were voted 50 best places to work in 2022 and our Group CEO, Greg has recorded a podcast about our culture and how we empower our people. We’ve also been placed in the top 10 companies for senior leadership
Visit our UK perks hub - Octopus Employee Benefits

"
"DATA SCIENTIST
- job post",Atos,Bristol BS8 2LR,
"Apprentice - Data Science
- job post",British Airways,Heathrow,"

Salary: £26,938
 Location: London Heathrow
 Application Closing Date: 25 November 2024
 Start Date: October 2025

Airlines are complex, everchanging and data rich, which means that the industry provides one of the most varied and interesting places for data and analytics professionals to work. Projects like tracking flight revenue against commercial targets, or measuring the impact on a change in fares, requires a creative approach identifying and exploiting value from current and new data sources, applying advanced analytical techniques and visualisations.
You will join our Insights and Innovation team, who have exceptional technical skills and first-class business knowledge, using techniques from the fields of data science, data engineering and data visualisation. The Insights and Innovation team work with different directorates across our business to collate, cleanse and analyse different data to produce reports to drive strategic decision making across BA.
As part of the programme, you will study towards a BSc in Data Science with our chosen training provider Northeastern University (NCH), embedding your new theoretical knowledge into the workplace. Following the completion of your Level 6 apprenticeship, you may be fast tracked for an interview as a permanent team member within our Insights and Innovation department.

 About you
We are looking for GCSEs in English and Maths at grade 9 -4 (A*- C) or equivalent. As well as hold or be predicted to hold 3 A Levels totalling a minimum of 128 UCAS points (equivalent to ABB), with a minimum grade of B at A Level Maths, or equivalent.
A practical thinker with a customer focus, you’ll need to be good with numbers and communicate with our colleagues in an engaging way.

 What's in it for you?
Looking to join our apprenticeship scheme? You won't be disappointed. Recently being ranked #18 in the Rate My Apprenticeship Top 100 Apprentice Employers, we can't wait to welcome you into the British Airways family.
We have many benefits for apprentices at British Airways, here are a handful to showcase the diversity of our apprentice community:

Increase in salary after you have completed the first year of your apprenticeship, if completed in line with your development objectives
Part of the British Airways apprentice network and community, with the opportunity to engage with apprentices from all schemes in the business and learn from former apprentices
Involvement in our ambitious sustainability vision, volunteering an active role to champion specific community groups including LGBTQ+ 'Flying Proud' and ethnic minority colleague network Be ME
Involvement in Community Investment programmes, taking part in fundraising challenges for partnership charities, supporting causes close to your heart
Volunteering in schools and colleges sharing personal experiences to inspire, motivate and coach students and support their potential to gain employment in the industry we love
Access to heavily discounted flights to globe trot, and a generous annual leave entitlement to turn your bucket list into reality



Further information and next steps


We are delighted that you are considering applying! Here’s some more information you may need about the application process:

All sections of your application need to be complete, including all online tests, by the deadline given
Due to high volumes of applications, you may only apply for one apprenticeship programme. We would recommend for you to read about each scheme before applying as only your first application will be considered
If you are successful with the online tests, you will be invited to complete a short video interview within a given timeframe
Across all stages of the application process, if you fail to submit by the deadline, your application will be automatically withdrawn.

At British Airways we all have a part to play in creating an inclusive place to work. Diverse representation among our people is really important to us and we recognise that all our colleagues are uniquely different and bring their own originality, creativity and identity to work.
Inclusion and diversity is a key driver of innovation and we’re committed to creating a culture where everyone feels that they can be themselves. We’re looking for people from all backgrounds and cultures to join us and be a part of our journey to become a Better BA as we continue to connect Britain with the world and the world with Britain.

 Timelines for this recruitment process

Initial applications open between 4 November – 25th November but may close earlier if volumes are high
If your initial application is successful, you will be invited to complete a video interview in January 2025
If your video interview is successful, you will be invited to a Virtual Assessment Centre in March/April 2025




  How to apply
 





Click here to apply





"
"Global IT Domain Architect Expert Director – Gen AI/ LLM
- job post",Boston Consulting Group,,"
WHAT YOU'LL DO
 We are seeking a highly skilled and experienced Gen AI /LLM Domain Architect Expert Director to join our Gen AI platform team. This role focuses on building and maintaining cloud-native platforms specifically designed for Generative AI and Large Language Model (LLM) development. The ideal candidate will have a strong background in platform architectures and cloud native platforms, cloud infrastructure, and AI SDLC/MLOps/LLMOps, with a passion for creating scalable, reliable, and efficient systems. This role, in close collaboration with our cloud & platform engineering teams and platform users/ use-case teams, will delve into their unique challenges, designing/ enabling cutting-edge Gen AI platform capabilities and developing strategic, reusable, secure, scalable platform capabilities that elevate their use of Generative AI.
In this critical role, you will leverage your expertise to design and implement advanced Generative AI capabilities, ensuring they align with enterprise security and compliance standards. You will collaborate closely with the platform team, our engineering teams, enabling them to achieve the outcomes. Additionally, you will document solution architectures thoroughly and review them with Platform teams, Enterprise Architects, Security, and other stakeholders to ensure alignment with enterprise architecture principles and security standards.
This position offers an exciting opportunity to be at the forefront of Gen AI innovation, working within a dynamic and collaborative environment. If you have a passion for cutting-edge technology and a drive to make a significant impact, we invite you to apply for this role.
YOU'RE GOOD AT

 Architecting and building scalable platform which are secure and compliant to enterprise requirements.


Defining and documenting current, transition and target state architectures.


Influencing and being a technical thought partner with EAs, Lead Architects, Chapter Leads, TALs.


Are passionate to build things the right way while meeting business needs, intellectually curious, and enjoy learning new skills and capabilities.


Committing to cross-functional collaboration to achieve the best results for the organization.


Enjoying coaching and developing people to improve their performance, knowledge and expertise.


Comfortable with both planning and execution.


Bring a data-driven approach to decision making, both in day-to-day management and in making technical or architectural trade-offs.

YOU BRING (EXPERIENCE & QUALIFICATIONS)

 Master’s or bachelor’s degree in engineering (or equivalent). Preferably with a focus on artificial intelligence, machine learning, or data science


Proven Experience in architecting Gen AI, Artificial Intelligence, Machine Learning, or Natural Language Processing based systems for scale and robustness.


2+ years’ experience in experimenting, architecting and developing with LLM.


1 to 2 years of experience with LLMs and related services for production use case.


10+ years design and implementation experience of building enterprise grade platform services with distributed architecture and security/compliance adherence.

Experience & Skills (Mandatory)

Strong knowledge and experience in Generative AI/ LLM based development.


Strong experience working with key LLM models APIs (e.g. AWS Bedrock, Azure Open AI/ OpenAI) and LLM Frameworks (e.g. LangChain, LlamaIndex)


Strong experience with cloud infrastructure for AI/Generative AI/ML


Experience with multi-agent architecture & frameworks and an understanding of multi-agent systems and their applications in complex, multi-step problem-solving scenarios.


Expertise in building enterprise grade, secure data ingestion pipelines for unstructured data – including indexing, search, and advance retrieval patterns.


Knowledge of effective text chunking techniques for optimal processing and indexing of large documents or datasets.


Proficiency in generating and working with text embeddings with understanding of embedding spaces and their applications in semantic search and information retrieval.


Knowledge and Experience in building knowledge graphs in production.


Experience with RAG concepts and fundamentals (VectorDBs, AWS OpenSearch, semantic search, etc.), Expertise in implementing RAG systems that combine knowledge bases with Generative AI models.


Experience with security related to LLM integrations.


Experience with implementing LLM guardrails at platform, agent and application level.


Knowledge of training and fine-tuning Foundation Models, including multimodal inputs and outputs


Proficiency in Python, TypeScript, NodeJS, ReactJS (and equivalent) and all associated GenAI libraries and frameworks.


Experience with LLM monitoring and observability.


Experience in LLM Testing and Evaluation.

YOU'LL WORK WITH

 Your Gen AI Platform team members, PO, and Chapter Lead. You will also work with other Domain Architects in Cloud and Platform Engineering Portfolio, by setting their direction, establishing objectives and key results, working on the staffing and development of your chapter, and ensuring that you maximize outputs and working products.


Portfolio Lead Architect, Enterprise Architects, Technical Area Leads, Product Owners and Chapter Leads.


Agile Coaches and Scrum Masters, that will ensure that you adopt agile principles, mindset and ways of working into your daily routine and who will coach you during the transformation.

"
"RM Data Science Analytics Engineer
- job post",Hertz Europe,Uxbridge,"
The Hertz Corporation operates the Hertz, Dollar Car Rental, Thrifty Car Rental brands in approximately 9,700 corporate and franchisee locations throughout North America, Europe, The Caribbean, Latin America, Africa, the Middle East, Asia, Australia and New Zealand. The Hertz Corporation is one of the largest worldwide airport general use vehicle rental companies, and the Hertz brand is one of the most recognized in the world.

  The Data Science Analyst is responsible for Applications, Tools and Models that deliver actions and insights from Hertz's rich history of observational data. Working closely with management, Analytics and the Data Science team, Data Science Analyst will build descriptive, predictive, and prescriptive models and support applications with the ultimate goal of maximizing profit and gaining a competitive advantage in the market.   What You'll Do:  1. Oversees the data science department's training and competency development, determining best practices and work standards. The Data Science initiates data science programs across the department not only with a view of improving departmental performance but also with a focus on revenue growth and achievement of the business' overall targets and objectives.  2. Building and managing new data tables that support data collection in the department, cross-channel data integration, data visualization, dashboards, predictive analytics, and data mining.  3. Leverages data science tools and techniques in analyzing large data-sets that will enable him to develop custom models and algorithms to uncover insights, trends, and patterns in the data, which will be useful in availing informed courses of action.  4. Create data science platforms to test and experiment with techniques inclusive of advanced analytics, behavioral modeling, and churn capitalizing on new data science approaches that can yield revenue for the business.  5. Design and architect data processing pipelines for the department. In this analytical position, the Data Science further drives the collection of new data as well as the refinement of existing business data sources.  6. Leads the department in the development of new insights, advanced modeling techniques, and data science capabilities.  7. Mentor members of data scientist and data analysts in best practices for data preparation, analysis, coding and modeling   What We're Looking For:  Educational Background: 

Degree in a quantitative field with an emphasis on predictive modeling, including: Statistics, Data Science, Operations Research, Industrial Engineering, Actuarial Science, Mathematics, or Economics
Graduate degree preferred but not required in lieu of experience
Required Experience: 

Designing and architecture of relational database systems
Designing and architecture of distributed structured/unstructured data lakes / meshes system
Experience in finding patterns in data and creating statistical models, data exploration, data visualization and data mining
Experience in designing solution in: SQL Server, Teradata, Cloud (AWS), Databricks, Delta Lakes
Solid understanding of MS SQL Server, Apache Spark
Fluency in languages, SQL (T-SQL, Spark SQL), Python
Experience in PySpark
Strong problem solving and critical thinking skills with a proven record for identifying and diagnosing problems, and solving complex problems with simple, logical solutions.
 What You'll Strive For: 

Design & Build High Performance, failproof data pipeline solutions that drives Analytics & Data Science for Corporate Europe. In this analytical position, the Data Science further drives the collection of new data as well as the refinement of existing business data sources.
Leads the department in the development of new insights, advanced modeling techniques, and data science capabilities.
 What You'll Get: 

Up to 40% off the base rate of any standard Hertz rental in a Corporate country
Paid Time Off
Employee Assistance Programme for employees and family


"
"AI/ML Engineer, Python Developer, London, COR7014
- job post",Corriculo,London NW1 2DB•Hybrid work,"
Salary: £45k - 50k per year + Benefits Reference: COR7014 A
 AI/ML Engineer, Python Developer, London, COR7014
Are you a skilled Python Engineer with a strong background in AI/ML projects looking for your next opportunity? This might be the ideal role for you!
 The Role
In the position of AI/ML Engineer, you will be essential to the development and deployment of an innovative AI-driven enterprise platform. You’ll collaborate closely with a specialist AI team to design and implement cutting-edge solutions.
This role requires experience working on AI/ML projects and a solid proficiency in Python. Familiarity with deploying machine learning models, as well as experience in NLP and large language models (LLMs), would be a significant advantage.
 The Company
Our client, an early-stage startup committed to pushing the boundaries of AI technology, focuses on creating transformative AI-powered platforms. By joining as an AI/ML Engineer, you’ll be part of a collaborative and growth-oriented environment where innovation, creativity, and problem-solving are central.
This is a hybrid remote role, requiring three days per week in their London office.
 What You’ll Need
To succeed in this role, the ideal candidate will bring:

Strong skills in Python and experience with machine learning libraries
Solid background in AI/ML methods, including data analytics, statistical modeling, and machine learning algorithms
A degree in mathematics, computer science, or a related field
Experience in NLP and working with LLMs (highly advantageous)

 Ready to Make Your Move?
If you’re prepared to take the next step in your career, apply today to join this forward-thinking team as an AI/ML Engineer!
 AI/ML Engineer, Python Developer, London, COR7014
Corriculo acts as both an employment agency and business. #JC #ChannelA
"
"Machine Learning Engineer (TOP SAAS Company!) -Cambridge
- job post",Robert Half,Cambridge•Hybrid work,"
Machine Learning Engineer (TOP SAAS Company!) -Cambridge
Are you looking for a World Class career? Do you want to work in a company which is at the forefront of AI?
This is an outstanding opening to join a Global and Growing company which has seen a 200% growth Rate. This company is well established(Trading for 20 years) and well funded.
This is a career lead and permanent role due to the 2025-2030 roadmap we are only looking at perm hires and candidates from a perm background.
This role is based in Central Cambridge and we are looking for the Machine Learning Scientist to be hybrid working.

Position Overview:
 You will join a passionate small team working on creating solutions to real-world challenges. Machine Learning Engineer will cover a vast array of human knowledge and is provided as a mixture of structured and unstructured textual data as well as images. Hence challenges may involve training from labelled data, natural language processing (NLP), computer vision, or the use of large language models (LLMs). Your role will involve developing and rigorously testing new approaches to identify the most effective solutions.
 Key Responsibilities:

 Develop, train, and evaluate ML algorithms to a wide variety of complex problems in NLP and Computer Vision
 Deploy these algorithms into a production environment in an efficient and scalable manner
 Complement the existing ML team in a collaborative nature to enhance the existing suite of ML applications

 
Person Spec:

 Ability to write robust code in Python and experience with relevant libraries (e.g. numpy, pandas, opencv, scipy, matplotlib, flask, scikit-learn)
 Knowledge of ML from a theoretical POV (gradient descent, loss functions, regularization etc)
 Knowledge of at least one of one deep learning framework (e.g. TensorFlow, Keras, PyTorch)
 Experience implementing, evaluating, and fine-tuning ML algorithms. 
Eagerness to constantly learn and ability to think outside the box.
 Outstanding problem-solving ability
 Advanced degree (Master's/PhD) in Computer Science or a related scientific field, or equivalent practical experience

Excellent benefits on offer
10% bonus
25 days holidays
Pension + Healthcare
Flexible working arrangements -2 days in the office in Cambridge.
2 Stage process and fast turnaround!
Apply now!
Robert Half Ltd acts as an employment business for temporary positions and an employment agency for permanent positions. Robert Half is committed to equal opportunity and diversity. Suitable candidates with equivalent qualifications and more or less experience can apply. Rates of pay and salary ranges are dependent upon your experience, qualifications and training. If you wish to apply, please read our Privacy Notice describing how we may process, disclose and store your personal data: roberthalf.com/gb/en/privacy-notice
 Security alert: scammers are currently targeting jobseekers. Robert Half do not ask candidates for a fee or request candidates to send applications through instant messaging services such as WhatsApp or Telegram. Learn how to protect yourself by visiting our website: roberthalf.com/gb/en/how-spot-recruitment-scams-and-protect-yourself
"
"Research Assistant in Geospatial Data Science
- job post",University of Oxford,"Wellington Square, Oxford","

  Based at Oxford Population Health (Nuffield Department of Population Health), the Demographic Science Unit (DSU) is at the forefront of demographic research that aids society, government and industry. The DSU is home to the Leverhulme Centre for Demographic Science, an interdisciplinary research centre funded by the Leverhulme Trust and directed by Professor Melinda Mills which aims to disrupt and realign how we measure and model populations by infusing new types of data, methods and unconventional approaches to tackle the most challenging demographic problems of our time.
 


  We are seeking a Research Assistant to provide support for data wrangling of geospatial data. You will be responsible for several duties such as managing your own research and administrative activities, selecting and adapting geospatial GIS data to populate a geospatial database and undertake comprehensive and systematic data source reviews.
 


  To be considered you will hold a Masters degree in a relevant subject, have some relevant research experience and possess sufficient specialist knowledge in geospatial data wrangling using both vector and raster data. You will have excellent communication skills including the ability to write text that can be published, present material data at meetings and conferences, and represent the research group at meetings.
 


  This is post is part-time, fixed term post for 1 year.
 


  The closing date for applications is noon on 14 November 2024.
 


  You will be required to upload a CV and a cover letter as part of your online application. The cover letter should clearly describe how you meet each of the selection criteria listed in the job description.
 
"
"Member of Technical Staff, AI Data
- job post",Microsoft,London,"
Help build the world’s most advanced multimodal dataset at Microsoft AI.
We are on a mission to create the largest and most advanced multimodal dataset in the world. This dataset, spanning all modalities from across the web and beyond, will power the training of the world’s most capable AI frontier models, pushing the boundaries of scale, performance, and product deployment.
The AI Data team at Microsoft AI is responsible for all aspects of data preparation to support our model pre-training operations, including collecting data from the source, extracting and transforming the most useful data, and understanding the impact of changes to data by training and evaluating new models. We are an interdisciplinary team of engineers and scientists, learning from each other, and collaborating to create the best models and products. We work closely with the teams that transform pre-trained models into the models that power the consumer Copilot experience.
We are looking for outstanding individuals excited about contributing to the next generation of systems that will transform the field. In particular, we are looking for candidates who:

Are passionate about the role of data in large-scale AI model training


Will thrive in a highly collaborative, fast-paced environment


Have a high degree of craftsmanship and pay close attention to details


Demonstrate a proactive attitude and enthusiasm for exploring new methods and technologies


Effectively manage multiple responsibilities and can adjust to shifting priorities.

 Responsibilities

Design and develop data pipelines that ingest enormous amounts of multi-modal training data (text, audio, images, video).
Build and maintain cutting-edge infrastructure that can store and process the petabytes of data needed to power models.
Partner with the pretraining and post-training teams to improve our data recipe by rigorous and careful experimentation.
Collaborate with the product team and other engineers and researchers across Microsoft AI to identify gaps in the current generation of models.
Embody our culture and values.

 Qualifications
 Required/Minimum Qualifications

Bachelor's Degree in Computer Science, Math, Software Engineering, Computer Engineering, or related field AND experience in business analytics, data science, software development, data modeling or data engineering work


OR Master's Degree in Computer Science, Math, Software Engineering, Computer Engineering, or related field AND experience in business analytics, data science, software development, or data engineering work


OR equivalent experience.

 Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.
"
"GCP ML Engineer with Computervision Imaging experience
- job post",Lorien,London•Hybrid work,"
Machine Learning Engineer - GCP and Computer Vision Imaging  3 Months Hybrid Working with 2 Days Per Week onsite Inside IR35
My client a top Global company are currently looking to recruit a Machine Learning Engineer with GCP Cloud and Computer Vision Imaging experience to join their team on a contract basis. Please note if successful you will need to set up via an Umbrella Company/PAYE. The successful Machine Learning Engineer with GCP Cloud and Computer Vision Imaging experience will execute migration of raw and derived unstructured datasets (images, videos, etc) between on-prem and cloud data locations (e.g. GCP, Azure, AWS). Datasets magnitude vary between small scale (Gb) up to large scale (Tb).
 In this role the Machine Learning Engineer with GCP Cloud and Computer Vision Imaging experience will:

Execute migration of raw and derived unstructured datasets (images, videos, etc) between on-prem and cloud data locations (e.g. GCP, Azure, AWS). Datasets magnitude vary between small scale (Gb) up to large scale (Tb).
Ensure consistency between the data ingested and the data manifests.
Organise raw and derived data into appropriate hierarchies.
Collaborate with AI/ML engineers and product managers to

Develop data pipelines for incoming batch data and update existing pipelines where necessary.
Design and implement well decoupled, modularized, reusable, and scalable scripts and code for the retrieval and pre-processing of large-scale histopathology images into the AI/ML pipeline (i.e. each one with order of magnitude of gigabytes)

Document data flows and ingestion pipelines, data use and re-use
Implement data flows to connect operational systems, data for analytics and business intelligence (BI) systems (e.g. Power-BI)
Ensure completion of requisite documentation i.e. ingestion form and any related documentation
Track & report completion of data migration to stakeholders and raise blockers preventing migration.
Migrate ML pipelines from on-prem HPC solutions to the cloud.
Migrate ML pipelines between cloud environments and across cloud computing providers.
Optimise and parallelise said ML pipelines for scalability, speed and cost efficiency.

 We are looking for professionals with these required skills to achieve our goals: 

Experience as a professional data/software engineer.
Experience of GCP Cloud and Computer Vision Imaging is essential.
Experience of the following: Migrate ML pipelines from on-prem HPC solutions to the cloud; Migrate ML pipelines between cloud environments and across cloud computing providers; and Optimise and parallelise said ML pipelines for scalability, speed and cost efficiency.
Experience with large-size images and data formats for computational pathology (e.g. .svs, .tiff, .h5) is highly desirable
Advanced programming expertise in Python and in developing and delivering robust software solutions.
Machine learning experience / background
CICD experience
Expert level and industrial experience in design, development and deployment of data engineering pipelines.
Experience with cloud platforms, such as Google Cloud Platform, Azure, AWS (preference GCP)
Experience in handling big data at scale.

Carbon60, Lorien & SRG - The Impellam Group STEM Portfolio are acting as an Employment Business in relation to this vacancy.
"
